# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.8
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
0,1,1,1,117,1,1,1,987
1,1,3,1,9,1,1,3,926
2,1,1,1,1,1,1,1,861
3,3,1,1,1,1,1,3,20
4,1,1,3,985,1,1,9,37
5,1,3,1,522,1,1,4,9
6,1,1,1,5,1,1,1,10
7,1,1,13,5,1,1,1,295
8,1,1,4,1,39,1,18,1000
9,1,1,1,866,3,1,4,1
10,1,1,1,884,6,1,8,109
11,1,1,1,7,1,1,1,1001
12,1,1,6,112,1,1,1,1
13,1,1,1,66,1,1,1,7
14,1,1,1,6,1,1,1,1
15,1,1,3,606,1,1,3,18
16,1,1,1,3,1,1,1,131
17,1,1,1,17,1,1,11,812
18,1,1,1,1,3,1,1,54
19,3,1,1,1,1,1,1,15
20,1,1,1,809,1,1,1,58
21,1,1,3,3,1,1,1,8
22,1,4,1,5,1,1,1,14
23,3,1,1,889,1,1,1,386
24,1,1,4,14,1,1,1,26
25,8,1,1,169,1,1,1,18
26,1,1,1,81,1,1,1,6
27,1,1,1,3,3,3,1,123
28,3,1,1,21,1,1,1,101
29,1,1,1,64,1,1,1,294
30,6,3,10,1,1,1,1,30
31,3,1,1,889,4,1,1,1
32,1,1,1,3,1,1,1,1001
33,1,1,1,3,1,1,1,426
34,1,1,1,5,1,1,1,1
35,1,1,1,13,1,1,1,4
36,1,1,1,24,1,1,1,886
37,1,1,17,141,1,1,1,12
38,1,1,7,7,1,1,1,676
39,1,1,1,24,1,1,1,353
40,4,1,1,4,1,1,1,21
41,1,1,1,1,1,1,1,259
42,1,6,1,5,1,1,3,970
43,1,1,1,4,1,1,1,1
44,1,3,1,12,1,1,3,184
45,1,1,5,26,1,1,1,3
46,5,1,1,568,22,1,1,10
47,1,1,1,32,3,1,5,1
48,1,1,1,21,1,1,1,121
49,1,1,1,836,1,1,4,3
50,1,1,1,7,1,3,1,11
51,3,1,8,548,1,1,1,42
52,1,1,4,45,1,1,1,387
53,1,1,1,172,3,1,1,1
54,6,1,1,151,1,1,1,756
55,1,1,1,1001,1,1,3,9
56,1,1,1,7,1,1,1,984
57,1,1,1,953,1,1,1,43
58,1,70,1,4,1,1,3,13
59,5,1,1,6,3,1,1,996
60,1,1,1,859,1,1,1,734
61,1,1,1,12,1,1,1,1
62,1,1,1,1,7,1,1,408
63,3,1,1,6,1,1,1,109
64,1,1,1,937,1,1,1,24
65,1,1,1,303,1,1,1,979
66,1,1,1,10,1,1,1,807
67,1,1,3,992,1,1,1,3
68,1,1,1,189,1,1,1,992
69,1,1,4,3,1,1,1,3
70,1,1,1,1001,1,1,1,408
71,4,1,1,141,1,1,1,841
72,1,1,1,1,1,1,432,808
73,1,1,1,94,1,1,1,7
74,1,1,1,1,5,1,1,21
75,1,1,1,1,1,1,1,25
76,1,1,927,1,1,1,1,1
77,1,1,3,63,1,1,1,740
78,1,1,1,4,1,1,1,122
79,1,1,1,1,1,1,1,1
