# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.6150000000000001,98450,97739,96271,93877,89752,82925,71205,52602,52615,53378,55340,57914,63912,75762,1406427,1543187,1595939,1665389,1703926,1687666,1488917,1369024,1488016,1509132,1534046,1466701,1256445,813200,37403,55171,86807,131343,237225,431221,675717
9,0.5,0.6050000000000001,98083,97138,95407,92781,88297,81418,69779,52344,52707,53603,55532,58415,64269,76066,1685529,1793190,1855056,1962824,1905244,1898720,1703742,1641025,1723170,1754716,1799858,1626437,1449138,960848,44504,70020,100340,162966,278807,449582,742894
9,0.5,0.6200000000000001,98683,97885,96680,94336,90381,83538,71870,52574,52453,53539,54849,58180,63735,75801,1324376,1427352,1501889,1583016,1590679,1627590,1462564,1294684,1376276,1423497,1450382,1389998,1230595,819701,29692,51076,78392,132634,200681,396995,642863
9,0.5,0.6250000000000001,98825,98118,96957,94839,90996,84235,72319,52723,52841,53335,54928,57962,63753,75669,1231539,1341940,1429661,1506853,1548405,1549588,1380638,1203032,1294018,1363079,1394583,1354293,1203731,788983,28507,47922,66582,112270,194112,345857,591655
9,0.5,0.6300000000000001,98980,98373,97178,95236,91571,85093,72959,52721,52514,53198,54862,58023,63753,75710,1145781,1253520,1305097,1421765,1450068,1474806,1331324,1130963,1216624,1249781,1331199,1271764,1153487,758388,14818,36896,55316,90566,178304,321319,572936
9,0.5,0.6400000000000001,99200,98684,97707,95929,92606,86412,74055,52701,52420,53386,54786,58027,63742,75900,993848,1058368,1174078,1264912,1310651,1350325,1283177,978988,1034703,1137126,1186609,1183363,1086760,730139,14860,23665,36952,78303,127288,263565,553038
9,0.5,0.6350000000000001,99117,98477,97481,95505,92133,85633,73393,52834,52300,53113,54788,57862,63677,75633,1054912,1152327,1245425,1320915,1375956,1458971,1299321,1046154,1124849,1195061,1232034,1208837,1143457,751154,8758,27478,50364,88881,167119,315514,548167
9,0.5,0.6450000000000001,99221,98827,97905,96201,93023,86861,74560,52676,52613,53344,54456,57843,63972,75728,938330,1031006,1118103,1189886,1254518,1335533,1200055,924950,1012312,1086358,1130707,1135378,1072691,709891,13380,18694,31745,59179,119140,262842,490164
9,0.5,0.6550000000000001,99451,98997,98222,96809,93838,87874,75766,53187,53119,53379,54674,57666,63412,75646,875521,953226,1016703,1127941,1219589,1266657,1214999,872959,943848,998775,1084330,1125140,1047631,746325,2562,9378,17928,43611,94449,219026,468674
9,0.5,0.6500000000000001,99331,98917,98067,96471,93382,87178,75281,52941,52856,53368,54732,57898,63875,75497,870372,968140,1051628,1124850,1226762,1254877,1195464,860459,956021,1026249,1075870,1121915,1040956,708623,9913,12119,25379,48980,104847,213921,486841
9,0.5,0.6600000000000001,99449,99098,98422,96948,94319,88377,76552,53476,52846,53163,54936,57757,64058,75814,847380,938603,1034573,1122288,1196462,1289724,1204887,844172,930275,1017356,1083639,1119112,1078681,755018,3208,8328,17217,38649,77350,211043,449869
9,0.5,0.6650000000000001,99493,99171,98576,97220,94610,88852,76814,53683,52972,53583,55067,57895,63946,75445,828435,945696,1023683,1169836,1259289,1331838,1249694,823405,937419,1007069,1130394,1180190,1135579,811534,5030,8277,16614,39442,79099,196259,438160
9,0.5,0.6700000000000002,99463,99119,98511,97395,94904,89327,77319,53557,53042,53393,54979,57769,63742,75589,803239,885845,970174,1100691,1168129,1253430,1218856,799734,876509,956187,1066793,1088325,1063896,776977,3505,9336,13987,33898,79804,189534,441879
9,0.5,0.6750000000000002,99394,99060,98490,97376,94942,89668,77959,53634,52933,53414,54775,57556,63646,75513,721705,803853,879901,975610,1073475,1108114,1110420,709037,787181,866242,937623,1000076,941376,707624,12668,16672,13659,37987,73399,166738,402796
9,0.5,0.6800000000000002,99266,98906,98479,97430,95138,90125,78211,53016,52957,53218,54708,57987,63652,75643,633532,710121,762077,891786,965662,1052649,1077969,619822,691766,744947,857301,901170,888440,681041,13710,18355,17130,34485,64492,164209,396928
9,0.5,0.6850000000000002,99117,98823,98375,97363,95384,90443,78803,53273,52764,53485,54750,57477,63683,75725,567770,652529,707281,808610,909792,989748,1018751,553364,636575,687281,776179,851659,845280,641200,14406,15954,20000,32431,58133,144468,377551
9,0.5,0.6900000000000002,98973,98694,98252,97265,95373,90750,79482,53346,52810,53289,54469,57695,63831,75719,530887,606019,691662,784339,863974,959169,989575,509319,574801,666120,756539,803145,815460,617548,21568,31218,25542,27800,60829,143709,372027
9,0.5,0.6950000000000002,98823,98612,98196,97326,95517,91093,79890,53332,52854,52860,54871,57693,63833,75827,510699,566450,629890,714229,824200,874756,931902,476813,533978,604062,676695,761897,745449,585184,33886,32472,25828,37534,62303,129307,346718
9,0.5,0.7000000000000002,98672,98538,98122,97270,95465,91415,80319,53066,53100,53284,54553,57468,63662,75453,504561,544249,611529,682594,782537,856178,909039,451640,500246,579264,641577,721353,718350,584096,52921,44003,32265,41017,61184,137828,324943
9,0.5,0.7050000000000002,98703,98370,97990,97193,95692,91457,80756,53295,52991,53261,54783,57679,63407,75620,477544,535815,587658,677171,758077,881925,897517,418385,480692,551525,635592,702326,764267,580093,59159,55123,36133,41579,55751,117658,317424
9,0.5,0.7100000000000002,98530,98315,97896,97221,95559,91949,81219,53365,53063,53312,54920,57869,63856,75427,507565,518967,579402,631445,717117,849242,898361,412995,457161,527598,588874,655978,721831,586154,94570,61806,51804,42571,61139,127411,312207
9,0.5,0.7150000000000002,98510,98219,97866,97184,95799,92157,81563,53395,52961,53244,54682,57793,63658,75539,499245,519506,573786,617912,714491,784437,833590,428418,455986,516815,566633,649420,664126,553846,70827,63520,56971,51279,65071,120311,279744
9,0.5,0.7200000000000002,98420,98195,97567,97155,95804,92482,81998,53698,53177,53403,54816,57811,64199,75599,467065,498415,533480,613317,713045,757135,819130,421618,450143,480061,550741,633970,643561,541467,45447,48272,53419,62576,79075,113574,277663
9,0.5,0.7250000000000002,98380,98117,97629,97021,95875,92540,82400,53870,53469,53439,54832,57973,63710,75718,399266,447069,516688,589377,677994,808408,833110,355475,393486,450858,507906,585020,674503,556055,43791,53583,65830,81471,92974,133905,277055
9,0.5,0.7300000000000002,98291,97907,97562,96956,95885,92914,83072,53637,53081,53528,55051,57917,64191,75876,395395,451081,511688,596083,702772,769170,810616,329358,369504,412504,481555,577919,622063,544728,66037,81577,99184,114528,124853,147107,265888
9,0.5,0.7350000000000002,98246,97894,97437,96975,96041,93209,83271,54148,53417,53607,55052,57790,63886,75437,398520,457319,574226,653260,753170,804571,779677,303372,337727,404412,452289,549533,596714,521026,95148,119592,169814,200971,203637,207857,258651
9,0.5,0.7400000000000002,98133,97796,97415,96887,96031,93347,84000,53981,53383,53891,55426,58211,64477,75620,464521,577086,706596,836448,961309,935943,805362,289303,336253,400660,466488,572647,622886,551310,175218,240833,305936,369960,388662,313057,254052
9,0.5,0.7500000000000002,98464,98094,97931,97641,96914,94327,84701,54481,54111,54581,56001,59330,64595,75451,717684,954104,1118224,1386140,1498020,1290278,780138,475747,622858,741885,864250,1004550,924660,547312,241937,331246,376339,521890,493470,365618,232826
9,0.5,0.7450000000000002,98126,97823,97481,96982,96335,93643,84222,54251,53650,54170,54951,58465,64351,75450,632176,760710,937987,1194841,1264422,1106063,762950,357222,414170,476654,609757,671352,696965,533484,274954,346540,461333,585084,593070,409098,229466
9,0.5,0.7550000000000002,98669,98526,98429,98307,97775,94875,84994,55084,54818,55462,57218,60152,65206,75630,640007,776789,949085,1151196,1231877,1071273,748079,539185,655810,793292,948383,1051325,899614,533199,100822,120979,155793,202813,180552,171659,214880
9,0.5,0.7600000000000002,98744,98751,98588,98600,98040,95441,85562,55384,55192,56082,57824,60737,65895,75663,407531,509676,675836,794289,871882,852686,713025,383475,481521,640650,753613,829857,778457,502921,24056,28155,35186,40676,42025,74229,210104
9,0.5,0.7700000000000002,98585,98530,98614,98605,98270,95925,86100,55652,55480,56527,58300,61310,66029,75493,270158,338121,394251,491630,569695,657610,734546,238844,300401,368273,468236,549026,611933,538935,31314,37720,25978,23394,20669,45677,195611
9,0.5,0.7650000000000002,98667,98574,98600,98561,98191,95626,85928,55362,55363,56161,58071,60775,65925,75590,334293,404854,479860,574048,638313,700506,734270,308405,380551,457167,553421,623876,658244,536430,25888,24303,22693,20627,14437,42262,197840
9,0.5,0.7750000000000002,98579,98481,98612,98660,98358,96160,86753,55857,55896,56625,58316,61136,66302,75496,262760,300798,360492,410498,518664,586765,694594,220882,254958,321433,379154,499177,546252,503774,41878,45840,39059,31344,19487,40513,190820
9,0.5,0.7800000000000002,98579,98513,98446,98632,98331,96311,87147,56341,55780,56855,58390,61551,66529,75757,256652,287645,349215,401642,495590,589043,683188,201463,229000,286831,350648,465894,552163,504120,55189,58645,62384,50994,29696,36880,179068
9,0.5,0.7850000000000003,98494,98295,98393,98617,98466,96405,87320,56027,56072,57027,58586,61515,66659,75557,273018,337951,387877,407014,475364,550560,674041,179744,218380,276272,320440,430109,510409,500085,93274,119571,111605,86574,45255,40151,173956
9,0.5,0.7900000000000003,98467,98368,98412,98599,98506,96636,87836,56688,56484,57258,59357,62018,66794,75487,355271,412849,492297,481631,504317,516477,689640,174503,207448,279390,316972,413638,485005,526485,180768,205401,212907,164659,90679,31472,163155
9,0.5,0.7950000000000003,98486,98407,98553,98663,98607,96742,88156,56963,56638,57601,59461,62472,66977,75663,564221,648286,668700,656130,539516,512030,683535,245967,269635,333473,374695,411428,483425,518075,318254,378651,335227,281435,128088,28605,165460
9,0.5,0.8000000000000003,98953,98879,98920,99079,98823,97060,88449,57650,57184,58528,60039,62729,67199,75647,608370,758487,807776,766067,595689,500466,652020,357379,462951,487400,511522,482077,476195,494164,250991,295536,320376,254545,113612,24271,157856
# 819.8857333333333 minutes elapsed
