# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.55
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
0,7,1,102,11,906,5,96,1
1,1,9,35,1,1,3,54,1
2,1,16,4,1,1,1,1,831
3,8,1,38,13,104,9,13,9
4,798,1,776,3,1,1,1,17
5,4,1,46,79,16,1,269,1
6,1,1,110,14,97,376,224,6
7,13,22,1,12,14,27,44,1
8,1,1,1,1,38,1,3,1
9,3,1,30,1,3,1,312,527
10,1,3,4,1,12,1,1,26
11,1,1,1,85,3,1,35,7
12,9,1,119,108,5,1,1,3
13,49,1,67,1,127,1,5,1
14,1,18,127,7,451,710,208,44
15,1,1,68,1,7,1,1,52
16,1,1,59,1,1,1,92,90
17,1,1,94,1,1,1,6,60
18,3,3,229,18,4,6,3,59
19,5,1,7,19,49,7,11,62
20,1,1,3,1,174,1,44,19
21,1,1,1,41,17,1,1,1
22,191,1,23,1,55,1,24,1
23,1,38,15,3,7,16,52,1
24,4,3,288,21,12,1,1,192
25,1,1,37,1,122,4,22,20
26,4,1,440,94,5,1,66,13
27,3,1,47,30,91,1,12,1
28,1,4,14,1,1,1,3,1
29,1,1,4,1,130,1,70,97
30,63,4,445,30,58,4,11,855
31,1,1,20,1,1,40,13,3
32,1,1,27,1,1,1,1,1
33,16,1,1,1,3,13,176,1
34,4,1,60,34,1,23,7,4
35,39,1,131,1,1,1,1,5
36,234,14,7,1,1,16,8,339
37,3,1,131,1,1,1,30,6
38,1,5,11,401,31,34,1,1
39,1,3,206,1,1,1,8,22
40,27,6,125,1,1,5,57,1
41,6,1,14,1,5,7,237,1
42,1,1,32,1,11,17,5,1
43,1,4,5,44,96,32,1,52
44,1,11,10,15,1,1,4,1
45,119,1,55,1,74,1,1,1
46,1,6,361,1,1,1,3,19
47,3,1,5,1,11,826,1,12
48,3,1,4,1,131,1,27,480
49,1,3,822,16,3,1,9,7
50,1,3,142,12,88,1,26,24
51,1,1,9,1,1,1,4,1
52,1,3,1,1,14,1,88,23
53,3,12,72,5,1,1,8,1
54,1,359,11,1,1,15,27,63
55,21,1,26,1,1,1,9,1
56,1,1,16,81,3,28,1,63
57,1,1,449,1,87,1,5,16
58,1,1,19,1,1,352,202,50
59,1,1,51,1,1,1,20,1
60,8,3,64,1,12,1,40,19
61,1,1,146,5,7,3,60,153
62,1,1,6,85,4,1,202,15
63,3,1,300,1,19,4,5,1
64,19,1,27,4,132,1,142,87
65,1,1,18,234,105,3,45,1
66,4,1,1,1,10,1,15,6
67,1,3,26,1,1,14,268,1
68,18,9,4,1,1,1,1,3
69,53,1,606,1,1,8,15,14
70,4,1,1,1,30,1,20,7
71,1,1,14,192,1,1,1,1
72,5,1,1,1,1,1,424,82
73,1,3,161,26,1,1,32,1
74,1,3,1,1,7,1,216,11
75,3,1,14,6,1,1,1,54
76,4,1,4,44,258,5,15,43
77,1,1,1,9,56,9,25,193
78,8,5,1,60,5,20,7,1
79,1,20,6,8,1,3,10,348
80,135,1,86,3,29,1,1,5
81,1,1,8,404,39,1,76,25
82,1,1,3,1,6,1,1,1
83,5,1,41,1,111,1,9,461
84,3,1,37,1,3,12,287,1
85,1,5,1,4,82,1,1,20
86,5,1,34,25,12,1,1,4
87,6,1,3,1,10,1,17,24
88,3,4,8,1,31,20,1,3
89,11,1,153,4,1,1,15,1
90,1,1,138,1,1,9,51,19
91,1,1,1,1,35,1,6,73
92,1,4,436,1,1,4,1,1
93,1,1,38,137,1,1,58,6
94,1,4,65,1,1,1,6,8
95,4,3,4,26,1,22,63,11
96,1,1,5,1,1,1,1,347
97,5,1,1,5,1,1,22,4
98,3,4,44,6,76,7,6,89
99,1,3,3,1,1,1,106,1
100,1,1,223,3,1,1,629,1
101,1,1,7,158,1,1,49,34
102,1,1,7,32,22,1,1,1
103,1,1,68,3,29,3,14,5
104,4,1,1,1,1,7,20,1
105,1,1,1,1,1,1,5,109
106,1,1,1,13,11,11,19,58
107,6,9,1,1,3,1,116,208
108,4,62,1,4,1,413,3,1
109,1,1,15,1,3,5,1,64
110,4,1,1,20,253,12,105,33
111,1,4,1,3,1,3,32,1
112,1,1,57,1,1,1,1,3
113,5,3,8,69,4,4,4,8
114,1,1,1,1,5,39,12,3
115,8,1,5,1,4,1,6,8
116,1,1,10,11,56,5,206,26
117,1,1,1,4,5,1,3,101
118,43,6,91,1,1,6,59,11
119,1,1,12,1,1,3,8,16
120,15,1,63,1,3,10,3,15
121,1,1,1,1,7,1,336,30
122,1,1,23,6,1,1,91,1
123,7,1,106,1,51,1,1,336
124,1,1,36,12,1,1,30,1
125,62,1,1,1,1,1,22,28
126,3,1,7,221,638,1,9,49
127,8,1,22,11,84,1,6,636
128,12,1,4,1,39,1,14,256
129,1,1,494,1,378,47,14,177
130,1,1,1,464,1,7,4,51
131,1,1,1,533,15,3,35,7
132,3,3,38,128,16,1,1,5
133,18,1,38,1,7,3,5,621
134,1,1,1,130,260,13,8,10
135,1,1,1,18,8,3,38,131
136,1,4,64,1,10,1,10,90
137,5,5,7,17,4,13,9,1
138,1,1,3,1,7,1,96,1
139,1,1,560,1,97,12,1,1
140,1,3,1,171,1,5,11,1
141,1,1,1,7,53,3,13,10
142,1,1,3,1,1,1,4,1
143,1,21,49,55,4,9,240,11
144,1,1,1,1,7,1,1,505
145,1,1,42,4,8,8,75,10
146,4,1,1,1,14,1,69,24
147,1,1,1,1,6,1,1,9
148,7,1,41,9,3,1,41,5
149,5,1,1,1,1,1,27,1
150,4,1,1,13,97,3,366,8
151,74,1,1,1,8,3,53,67
152,7,1,1,1,1,5,20,1
153,1,16,128,30,25,4,75,17
154,1,1,67,16,16,18,1,1
155,4,1,35,138,14,1,1,19
156,4,1,149,7,1,1,48,102
157,26,1,24,1,34,8,16,8
158,1,1,28,13,8,17,47,22
159,87,1,153,4,8,1,11,1
160,1,1,32,1,1,1,1,1
161,1,3,192,14,1,1,15,40
162,1,1,1,1,1,3,281,1
163,1,12,13,1,8,3,192,36
164,1,1,6,1,62,9,1,7
165,3,1,1,1,12,4,5,42
166,1,1,105,131,55,5,11,4
167,1,18,1,3,1,211,9,12
168,8,1,1,1,1,1,12,5
169,1,1,1,147,9,5,1,3
170,1,1,5,1,175,1,21,4
171,3,1,57,1,20,1,1,6
172,4,1,107,32,110,1,139,17
173,3,5,9,13,268,1,1,132
174,1,4,1,1,7,13,17,1
175,1,3,14,1,1,4,16,18
176,22,1,1,1,9,988,40,159
177,35,1,174,234,38,1,376,4
178,17,1,1,57,115,1,6,96
179,1,1,1,1,61,1,31,91
180,27,5,22,3,69,1,4,18
181,4,1,1,1,1,1,3,365
182,6,1,1,1,3,1,1,1
183,1,1,4,114,7,1,40,3
184,1,1,4,1,49,3,7,18
185,7,1,8,1,21,9,50,1
186,1,10,1,66,48,1,204,9
187,4,1,15,1,1,9,4,63
188,1,1,33,61,1,1,20,16
189,1,1,52,8,18,1,326,1
190,1,1,81,3,378,1,32,3
191,1,6,30,56,32,1,17,125
192,1,1,12,1,1,1,18,5
193,1,22,47,8,1,1,18,1
194,1,9,169,1,54,1,94,3
195,219,6,1,1,1,1,63,208
196,154,1,18,1,3,1,67,48
197,8,1,4,108,10,18,575,39
198,1,7,3,5,1,7,78,1
199,12,1,1,1,126,1,47,1
200,1,1,1,1,15,6,1,9
201,1,1,36,77,92,3,19,9
202,13,4,1,1,7,1,38,1
203,1,1,1,9,88,5,1,4
204,44,3,45,1,106,142,106,1
205,1,1,7,121,29,1,4,89
206,219,1,15,118,1,1,1,29
207,1,3,1,296,28,1,3,1
208,1,1,72,6,4,1,56,47
209,17,1,19,1,30,1,251,19
210,1,11,1,9,202,1,3,12
211,1,1,1,38,3,1,8,1
212,101,1,23,1,8,1,7,5
213,17,3,108,10,1,3,9,264
214,7,1,1,3,12,1,3,9
215,9,50,130,127,1,30,110,1
216,1,1,64,1,5,1,1,7
217,1,6,202,955,37,1,95,302
218,1,1,7,4,6,1,16,14
219,1,1,7,4,3,4,70,19
220,4,1,1,1,4,1,1,9
221,3,3,35,101,4,1,4,4
222,7,1,105,47,40,1,50,188
223,1,1,257,1,4,56,16,1
224,1,10,1,8,35,3,6,11
225,1,1,50,1,1,3,3,670
226,28,1,49,13,41,1,1,1
227,4,1,53,4,11,21,25,1
228,1,1,254,1,40,1,264,5
229,4,1,4,1,41,3,8,827
230,7,1,39,5,300,6,6,80
231,17,4,1,169,119,1,1,1
232,23,3,1,1,1,35,4,3
233,26,9,164,3,102,1,13,8
234,1,1,1,1,9,1,34,6
235,5,1,3,1,3,7,46,128
236,1,1,57,5,8,6,5,1
237,1,1,4,1,55,19,1,1
238,1,1,4,6,47,87,90,4
239,20,1,1,3,1,1,1,55
240,4,7,93,65,30,1,1,44
241,1,1,4,1,4,1,174,1
242,1,1,1,111,1,1,1,5
243,1,1,21,1,201,1,16,1
244,7,15,94,4,15,1,171,1
245,1,1,4,1,1,1,15,1
246,1,1,165,1,119,166,130,12
247,3,1,29,4,3,1,43,70
248,1,1,11,5,111,1,86,1
249,1,1,1,4,1,1,1,55
250,28,4,1,1,60,1,10,38
251,1,1,69,15,61,1,131,900
252,1,1,212,30,1,3,371,82
253,1,3,7,1,58,1,48,7
254,11,1,167,1,1,1,34,83
255,1,1,3,4,1,63,65,1
256,1,1,1,1,14,9,4,773
257,1,1,74,1,1,1,1,1
258,1,1,30,601,4,1,3,7
259,1,15,39,1,1,43,1,39
260,26,1,770,4,8,11,22,32
261,1,1,681,28,1,7,1,20
262,1,1,4,1,1,1,1,76
263,10,4,1,8,4,1,1,3
264,9,21,16,13,75,37,164,19
265,1,6,14,1,7,1,330,43
266,49,1,3,88,11,1,3,66
267,1,3,13,1,62,1,6,57
268,3,1,1,17,143,1,36,118
269,1,1,22,1,1,1,9,1
270,1,1,7,1,1,1,33,1
271,1,4,591,1,5,32,12,8
272,1,10,15,1,3,27,1,10
273,8,1,31,1,1,1,1,97
274,1,1,3,1,67,1,303,95
275,8,4,97,51,72,1,9,16
276,1,1,8,199,204,1,184,1
277,1,31,4,24,64,6,64,1
278,1,1,52,105,1,4,297,1
279,4,12,16,79,53,8,3,1
280,109,1,20,53,28,1,50,1
281,15,1,85,1,23,6,1,1
282,1,1,73,122,26,3,5,11
283,40,1,80,1,27,1,94,1
284,1,1,5,295,5,3,802,1
285,6,1,3,1,7,39,33,1
286,76,1,1,1,3,1,4,1
287,1,1,22,47,331,43,1,15
288,1,1,1,1,25,1,1,1
289,1,1,33,1,5,1,1,1
290,1,1,4,1,8,1,53,66
291,1,5,3,4,22,954,1,1
292,3,1,8,37,19,1,8,51
293,4,16,1,17,375,5,3,168
294,4,1,3,18,7,39,20,106
295,31,1,27,1,1,1,6,1
296,1,1,193,1,1,6,3,1
297,16,1,229,1,68,1,1,3
298,1,3,110,3,42,1,62,41
299,1,132,1,180,3,1,60,3
300,1,12,3,838,242,1,5,1
301,7,1,72,1,1,3,1,796
302,1,1,6,1,1,1,1,203
303,1,1,5,1,3,6,1,1
304,6,1,1,1,11,7,74,1
305,1,3,1,1,78,1,74,59
306,1,5,1,101,3,55,94,1
307,5,1,87,996,3,1,1,5
308,8,1,42,8,16,1,1,1
309,1,3,1,1,15,1,13,1
310,33,1,576,1,1,1,77,17
311,39,1,591,35,3,1,1,111
312,1,18,1,19,55,35,81,1
313,1,1,50,1,120,1,77,1
314,1,1,10,1,167,11,298,7
315,1,3,5,1,1,12,107,4
316,3,4,14,132,11,1,29,13
317,3,37,1,1,3,21,249,23
318,1,1,1,1,30,3,3,8
319,1,15,429,1,1,1,33,1
320,13,1,55,58,5,11,52,72
321,1,1,557,24,61,4,5,1
322,6,1,1,52,177,1,1,91
323,1,9,34,1,1,1,1,1
324,1,1,4,1,32,1,332,56
325,1,1,16,1,1,1,1,6
326,1,1,1,1,308,1,1,1
327,3,1,12,369,1,1,41,26
328,1,4,1,4,15,1,60,595
329,5,1,26,1,1,19,46,13
330,5,6,1,4,1,1,8,16
331,14,6,1,1,17,1,1,22
332,3,1,1,4,1,1,1,985
333,11,16,139,265,1,1,1,24
334,3,1,68,4,163,1,1,13
335,1,3,10,4,1,1,215,63
336,4,1,35,1,71,7,15,414
337,1,1,36,8,1,15,594,1
338,3,23,11,1,4,1,16,1
339,35,3,1,132,1,1,255,6
340,19,1,1,3,71,1,286,59
341,1,1,45,4,220,1,20,4
342,1,1,11,33,1,1,19,1
343,4,5,23,409,1,38,3,37
344,1,1,62,5,13,7,686,242
345,1,3,6,121,1,1,78,49
346,1,1,104,1,1,1,1,80
347,96,1,1,1,1,3,1,156
348,1,1,1,1,215,3,1,12
349,3,1,6,3,21,7,10,1
350,1,6,5,1,9,1,425,25
351,1,1,32,1,51,13,213,1
352,3,1,32,1,8,1,161,12
353,1,3,1,20,4,1,29,61
354,4,4,1,1,29,7,10,4
355,1,1,146,9,360,1,190,1
356,1,1,30,215,1,1,7,15
357,4,1,157,3,20,1,282,4
358,5,44,64,1,1,25,1,87
359,1,48,4,1,1,3,15,12
360,1,1,29,1,40,1,1,94
361,8,1,1,5,100,1,1,219
362,4,1,121,17,76,3,108,54
363,1,1,1,4,3,1,72,149
364,1,1,9,1,107,1,3,9
365,7,1,35,3,16,1,27,86
366,59,1,206,78,1,1,1,854
367,56,4,4,1,1,1,1,1
368,3,1,39,1,1,1,8,157
369,1,1,12,1,26,4,80,1
370,1,1,15,1,1,1,4,6
371,1,1,28,11,12,3,1,8
372,1,1,16,1,20,4,82,31
373,1,1,3,43,144,1,11,33
374,1,1,4,31,261,6,126,5
375,1,1,1,188,13,1,1,1
376,1,1,4,1,22,8,41,12
377,1,3,1,1,49,12,3,1
378,7,1,1,38,1,1,1,37
379,3,40,25,1,26,1,30,149
380,1,1,107,15,40,3,1,154
381,88,1,8,27,50,1,154,217
382,1,1,27,140,130,3,1,12
383,1,1,223,1,36,1,13,100
384,1,5,79,1,95,1,3,56
385,4,1,3,47,18,1,20,38
386,1,1,24,1,1,1,8,1
387,3,1,216,1,1,14,1,4
388,1,1,6,1,1,7,5,4
389,8,4,94,1,1,12,3,3
390,1,1,21,1,7,1,356,4
391,1,5,1,1,1,1,5,1
392,1,4,3,31,3,5,79,10
393,1,107,17,1,1,1,146,1
394,1,1,127,3,3,1,6,1
395,4,19,110,1,1,1,17,1
396,7,1,254,250,4,1,157,9
397,19,1,87,99,95,17,58,1
398,4,1,23,1,1,1,69,168
399,8,1,43,1,1,1,16,1
400,5,1,13,16,1,1,9,1
401,1,3,79,1,51,16,1,55
402,1,1,311,10,475,29,23,37
403,6,1,1,35,1,1,1,148
404,1,4,26,50,5,1,19,7
405,1,1,8,3,1,5,534,8
406,3,8,1,1,5,4,31,8
407,3,8,3,1,1,5,48,256
408,1,1,1,1,1,1,5,1
409,1,1,132,4,1,1,6,1
410,6,1,1,5,1,1,112,3
411,1,1,242,1,1,5,62,1
412,1,1,697,68,45,4,42,7
413,6,1,1,342,14,4,16,15
414,9,435,93,1,6,1,5,24
415,1,4,270,115,194,1,56,3
416,1,1,230,19,14,1,687,1
417,3,1,39,1,167,3,16,296
418,1,1,57,18,123,1,40,19
419,3,1,19,1,143,1,61,128
420,1,1,63,1,5,77,202,78
421,30,1,23,1,34,1,52,36
422,1,1,37,93,7,8,43,19
423,3,23,3,1,4,3,6,1
424,1,1,13,174,1,3,83,5
425,11,1,16,1,26,4,1,9
426,1,1,259,3,3,1,1,30
427,59,4,3,1,7,4,1,1
428,4,1,6,1,3,1,1,101
429,1,12,1,1,61,1,175,3
430,1,64,10,1,1,3,8,232
431,1,25,1,1,12,1,5,18
432,1,7,27,137,1,1,92,6
433,1,1,1,11,1,1,130,5
