# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.55
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
434,1,3,8,1,72,3,190,304
435,1,22,167,9,1,8,6,162
436,1,3,1,1,459,1,13,3
437,1,4,113,67,5,1,1,3
438,15,20,36,1,306,52,13,4
439,4,1,37,1,47,8,3,100
440,1,1,3,3,3,5,1,6
441,1,1,1,9,253,1,16,26
442,9,21,1,1,634,10,366,11
443,1,1,1,134,3,1,163,18
444,30,1,23,1,125,1,1,74
445,1,1,10,1,1,4,20,4
446,15,1,1,1,1,3,1,10
447,1,1,30,1,1,6,1,12
448,1,1,12,4,1,1,199,63
449,3,1,9,9,9,1,3,7
450,12,54,91,1,3,7,88,21
451,3,3,17,3,116,295,1,4
452,22,9,34,1,1,5,27,1
453,1,1,26,1,374,1,3,148
454,1,6,31,1,1,1,189,1
455,7,4,68,63,438,1,26,29
456,1,1,8,12,5,1,4,5
457,5,1,45,1,1,1,1,1
458,34,7,46,1,21,1,1,1
459,1,5,185,1,1,1,1,69
460,5,1,1,1,3,1,86,5
461,1,4,208,1,45,29,337,1
462,1,3,13,1,1,3,76,217
463,1,1,73,1,452,1,401,3
464,1,14,222,4,1,7,49,16
465,1,1,154,62,1,1,12,1
466,8,1,1,5,196,1,18,29
467,23,1,1,1,1,1,3,12
468,8,1,271,6,3,17,206,12
469,1,1,180,1,1,1,358,4
470,1,1,4,1,1,15,4,1
471,15,1,3,4,1,1,3,18
472,18,1,1,1,1,1,9,19
473,1,13,32,114,1,6,307,135
474,3,1,8,1,8,4,80,1
475,8,6,22,81,3,5,145,3
476,1,1,3,1,3,1,1,40
477,8,1,53,305,3,8,89,37
478,1,1,11,1,1,1,13,10
479,4,4,38,215,1,1,1,1
480,5,1,559,1,1,1,1,58
481,1,3,29,49,276,1,107,4
482,1,1,14,3,1,1,89,29
483,1,1,50,1,121,3,73,37
484,1,1,4,5,1,985,8,7
485,9,1,14,18,16,1,36,1
486,5,1,114,1,1,3,97,1
487,1,69,1,333,364,1,22,36
488,9,102,57,4,292,250,1,1
489,1,1,4,1,33,1,10,85
490,243,4,19,1,1,1,97,1
491,1,4,151,6,210,1,4,8
492,1,1,12,3,1,1,1,805
493,12,1,92,190,102,1,1,20
494,19,1,191,6,1,1,61,9
495,5,3,1,1,13,5,100,1
496,1,1,1,1,6,1,1,29
497,3,1,302,3,1,1,26,1
498,1,1,275,4,12,9,5,1
499,1,10,43,1,44,7,6,1
500,15,3,143,112,1,4,47,156
501,13,6,38,382,1,4,20,37
502,1,1,1,45,3,123,190,1
503,14,1,1,44,1,1,46,31
504,1,1,1,12,3,1,1,1
505,1,3,5,1,3,1,37,36
506,1,4,1,1,1,4,275,20
507,8,45,4,1,8,1,171,1
508,4,11,172,1,5,1,5,8
509,4,23,106,1,1,96,16,13
510,1,1,88,3,65,1,8,5
511,1,1,1,230,8,1,1,4
512,1,4,317,1,1,1,1,70
513,1,1,245,155,34,1,3,12
514,1,7,1,8,112,3,51,1
515,1,1,3,4,17,273,22,1
516,1,3,1,1,1,3,1,5
517,1,12,5,42,178,3,3,1
518,1,4,43,1,8,12,5,53
519,1,1,9,1,1,1,31,10
520,1,1,7,1,71,1,497,14
521,1,1,151,1,6,1,3,1
522,1,1,4,5,4,4,207,5
523,1,1,13,5,85,11,1,1
524,3,1,51,16,1,12,12,122
525,132,1,1,27,1,1,11,1
526,7,1,17,8,1,1,9,178
527,1,1,191,1,1,1,15,1
528,9,1,7,4,1,1,24,275
529,10,1,1,1,178,6,1,161
530,4,1,50,16,1,8,1,1
531,13,1,87,1,30,1,5,18
532,3,7,23,12,13,1,4,5
533,1,4,164,1,38,6,13,467
534,4,1,1,1,13,1,16,4
535,4,1,22,1,1,1,1,1
536,1,19,121,62,1,1,1,6
537,1,18,3,16,1,36,30,11
538,1,1,26,1,1,1,12,1
539,3,5,36,1,1,1,1,3
540,9,1,187,1,3,1,15,89
541,1,1,52,10,6,6,37,1
542,1,1,244,1,70,1,10,6
543,3,1,3,1,66,1,89,1
544,1,1,5,116,5,4,5,16
545,1,1,17,24,1,13,8,47
546,1,8,5,1,1,8,11,63
547,1,4,161,1,1,1,28,1
548,1,1,10,10,65,1,8,1
549,1,1,1,8,4,3,9,1
550,1,1,1,6,1,1,16,1
551,1,3,8,9,124,1,15,3
552,3,29,3,1,1,19,3,8
553,1,1,1,97,1,1,189,1001
554,1,1,34,39,186,1,436,1
555,1,1,1,4,1,5,1,1
556,1,5,5,1,6,8,1,47
557,4,1,3,1,3,1,3,1
558,1,15,4,30,13,1,1,1
559,1,1,1,1,21,1,1,1
560,8,14,158,512,13,4,40,128
561,1,6,3,1,39,12,6,1
562,1,18,25,3,36,1,129,1
563,1,4,47,15,1,3,74,71
564,3,1,27,4,433,4,11,1
565,3,1,20,154,8,5,117,1
566,190,196,6,1,3,1,9,4
567,1,5,3,3,107,1,33,22
568,4,5,1,1,1,1,6,80
569,1,1,1,1,6,18,33,1
570,15,1,86,9,44,3,139,1
571,1,1,1,3,27,5,14,229
572,1,13,49,1,216,6,70,14
573,1,75,1,9,393,1,7,6
574,3,1,20,1,77,1,89,8
575,1,6,1,1,1,1,21,55
576,1,51,205,1,1,3,1,309
577,1,1,31,1,1,9,31,186
578,8,1,42,1,1,4,5,7
579,12,16,5,6,4,1,1,4
580,1,1,10,1,19,9,64,1
581,4,4,86,58,1,1,33,63
582,5,1,62,1,8,4,1,184
583,1,901,43,1,21,9,84,45
584,1,5,44,49,85,7,12,20
585,1,4,23,1,1,3,5,1
586,15,1,7,1,29,13,215,41
587,1,8,5,20,112,1,6,4
588,6,7,1,1,1,9,1,3
589,1,1,4,6,1,83,17,1
590,5,1,37,1,1,41,487,80
591,1,3,75,53,41,1,24,68
592,7,9,61,1,3,1,1,1
593,1,9,141,1,38,1,43,6
594,1,1,1,66,424,88,434,33
595,1,1,1,1,54,1,162,8
596,1,1,1,164,434,1,1,15
597,3,3,1,1,4,1,1,1
598,1,98,1,1,197,1,22,1
599,1,9,1,1,40,3,14,1
600,1,1,162,1,159,1,19,1
601,9,1,28,1,5,1,25,1
602,1,20,1,27,1,1,1,1
603,1,3,290,1,1,1,1,4
604,17,5,33,57,1,1,118,188
605,1,4,11,49,81,41,1,1
606,3,1,1,21,52,1,82,51
607,1,1,5,1,1,1,38,1
608,1,1,1,8,5,3,1,1
609,1,1,30,24,1,3,72,683
610,1,11,8,77,3,20,289,7
611,3,1,22,123,8,3,14,1
612,9,1,14,7,4,1,7,16
613,1,4,1,6,4,1,1,224
614,1,1,103,1,4,13,21,1
615,1,1,122,5,1,9,1,18
616,1,1,5,29,34,4,7,23
617,1,4,1,1,180,1,5,1
618,5,3,4,6,37,1,1,7
619,1,1,1,1,67,1,3,1
620,53,1,103,789,3,1,28,23
621,1,1,11,1,1,4,8,12
622,7,1,25,1,51,1,13,13
623,1,1,9,1,5,13,1,22
624,1,7,5,3,11,3,1,43
625,24,1,1,1,32,1,57,1
626,10,1,26,3,197,3,5,57
627,27,1,3,1,5,1,10,50
628,1,1,60,8,1,1,1,152
629,3,5,272,1,27,1,83,1
630,3,4,11,113,1,1,1,17
631,1,14,1,6,1,1,138,986
632,8,1,1,41,66,5,115,4
633,3,18,64,7,1,4,1,38
634,1,1,1,1,1,156,175,21
635,6,4,1,23,42,1,4,1
636,3,1,33,1,1,1,138,118
637,11,1,3,7,73,1,44,842
638,1,1,74,276,53,101,16,1
639,53,1,8,1,1,4,648,71
640,28,3,1,1,5,8,87,4
641,1,1,16,1,1,1,608,1
642,9,1,1,14,417,1,3,15
643,11,67,75,8,5,7,5,606
644,1,1,19,33,9,1,4,34
645,22,1,288,8,183,1,3,132
646,1,8,35,259,26,4,1,1
647,1,1,999,9,1,1,90,166
648,1,1,46,1,32,914,6,1
649,4,65,1,5,1,61,1,7
650,1,3,114,24,5,3,49,361
651,1,1,83,362,6,16,61,3
652,1,1,199,23,217,1,14,1
653,6,1,92,338,9,6,98,19
654,1,3,149,1,7,3,1,1
655,21,1,1,1,3,1,1,1
656,92,1,4,1,10,1,1,6
657,1,1,12,1,24,1,58,1
658,1,1,116,1,1,420,4,49
659,11,32,33,94,1,4,5,3
660,1,29,1,441,1,1,300,168
661,1,1,4,135,11,3,63,1
662,1,1,11,30,1,12,1,83
663,5,1,1,19,1,1,46,42
664,1,1,1,1,179,1,11,133
665,1,1,172,3,52,3,46,44
666,1,1,142,4,1,1,20,3
667,23,6,38,9,207,3,1,996
668,1,7,1,3,1,1,1,291
669,6,1,1,1,1,6,24,6
670,1,3,22,1,4,5,763,54
671,5,1,88,21,1,3,31,4
672,1,1,31,6,1,1,1,4
673,5,18,1,3,5,1,103,116
674,1,4,271,1,4,3,214,271
675,15,1,70,1,645,4,108,663
676,1,6,15,71,1,1,1,1
677,1,1,4,1,17,1,1,12
678,3,1,1,1,3,7,226,4
679,1,1,1,5,54,4,4,34
680,1,1,5,8,5,1,28,92
681,17,1,277,79,12,1,21,1
682,1,1,36,1,4,1,8,3
683,22,4,167,1,1,1,86,203
684,10,1,19,1,1,1,42,13
685,549,1,74,182,431,1,511,298
686,14,1,56,1,1,12,40,3
687,1,1,4,42,1,4,13,172
688,3,7,1,1,1,1,247,1
689,1,4,1,14,1,20,85,24
690,1,8,167,1,3,1,7,1
691,3,3,1,4,17,3,8,66
692,1,4,10,1,3,1,3,1
693,180,1,1,1,5,1,1,27
694,1,1,26,1,1,5,6,3
695,3,1,1,72,10,1,27,9
696,1,1,41,59,1,1,1,8
697,1,1,1,1,39,1,11,11
698,1,1,3,1,120,1,179,45
699,1,1,3,1,12,3,27,22
700,1,1,1,1,1,3,43,1
701,6,1,23,13,66,1,109,46
702,6,1,13,1,1,5,16,4
703,179,3,3,1,5,1,15,1
704,216,58,12,1,1,5,46,911
705,1,1,49,1,20,15,28,16
706,4,1,41,1,3,5,25,3
707,5,8,25,1,5,1,548,212
708,1,1,1,41,1,1,103,1
709,9,1,7,146,1,1,95,9
710,1,1,1,1,14,3,1,988
711,5,1,1,1,1,1,22,3
712,1,1,14,94,1,1,1,1
713,316,1,6,1,1,1,62,11
714,1,38,22,1,1,1,40,19
715,5,4,46,1,5,1,23,43
716,1,14,30,1,45,1,1,1
717,1,5,4,1,179,7,30,85
718,5,1,1,1,341,1,40,54
719,1,1,12,1,7,4,4,4
720,1,11,1,3,1,5,6,4
721,1,3,35,6,493,1,1,113
722,1,1,46,1,31,198,8,10
723,1,1,5,3,16,7,30,130
724,1,1,22,25,286,1,18,20
725,1,1,194,1,17,1,1,1
726,1,1,17,1,15,1,101,490
727,35,1,34,702,7,4,13,47
728,1,1,82,1,1,1,1,21
729,1,1,170,717,30,1,1,80
730,20,7,272,199,3,9,22,1
731,1,1,164,99,25,1,5,12
732,3,13,102,5,36,14,262,239
733,1,1,4,402,39,1,1,49
734,3,6,26,18,13,17,89,17
735,1,4,41,1,13,5,1,39
736,89,1,1,17,1,5,19,23
737,7,1,88,48,3,1,26,1
738,7,1,167,6,1,1,19,91
739,1,1,83,173,5,493,1,10
740,1,1,161,206,3,1,1,1
741,1,1,176,46,43,7,81,9
742,21,1,47,134,3,18,1,26
743,1,5,9,33,16,1,68,1
744,19,1,8,1,6,1,35,1
745,1,1,42,80,1,1,14,49
746,4,1,137,55,1,440,158,1
747,11,1,29,1,1,1,1,25
748,1,1,85,17,25,5,257,1
749,1,1,250,5,1,1,1,5
750,28,1,3,4,1,1,1,92
751,1,1,1,1,3,1,8,7
752,4,9,1,1,1,1,41,29
753,4,1,25,16,3,1,1,1
754,1,3,5,661,5,1,1,6
755,6,1,11,45,1,4,8,1
756,3,1,52,466,101,3,4,18
757,1,3,134,1,53,1,3,106
758,1,1,6,9,70,1,1,1
759,1,1,47,1,1,1,10,20
760,14,1,6,1,1,3,115,226
761,3,1,1,9,6,1,3,16
762,9,4,9,1,116,1,663,3
763,28,1,68,1,1,1,12,1
764,1,3,1,1,13,25,8,20
765,25,1,1,117,184,1,1,28
