# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.6150000000000001,0.5,100000,100000,99999,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,834645,695711,697862,676147,663718,768973,735670,834645,695711,696862,676147,663718,768973,734671,0,0,1000,0,0,0,999
9,0.6200000000000001,0.5,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,757531,635560,638069,634313,610766,704128,681471,757531,635560,637069,634313,610766,704128,681471,0,0,1000,0,0,0,0
9,0.6250000000000001,0.5,100000,100000,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,687300,586181,590497,604355,583839,655255,642566,687300,586181,590497,604355,583839,654255,642566,0,0,0,0,0,1000,0
9,0.6300000000000001,0.5,100000,100000,99999,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,640190,548781,546459,556229,536048,599372,564442,640190,548781,545462,556229,536048,599372,563490,0,0,997,0,0,0,952
9,0.6350000000000001,0.5,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,590556,512779,515831,511797,500695,577022,544242,590556,512779,514831,511797,500695,577022,544242,0,0,1000,0,0,0,0
9,0.6400000000000001,0.5,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,550880,471853,456967,468620,475100,531625,516585,550880,471853,456967,467624,475100,531625,516585,0,0,0,996,0,0,0
9,0.6500000000000001,0.5,100000,100000,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,475830,408979,399882,421472,441433,492902,502041,475830,408979,399882,421472,441433,491915,502041,0,0,0,0,0,987,0
9,0.6450000000000001,0.5,100000,100000,100000,100000,100000,99999,100000,100000,100000,100000,100000,100000,100000,100000,511181,434596,423989,444238,448044,515557,498857,511181,434596,423989,444238,448044,514559,498857,0,0,0,0,0,998,0
9,0.6600000000000001,0.5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,444320,393703,416153,433499,488220,587856,582779,444320,393703,416153,433499,488220,587856,582779,0,0,0,0,0,0,0
9,0.6550000000000001,0.5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,454853,396084,402758,426528,457118,528799,509160,454853,396084,402758,426528,457118,528799,509160,0,0,0,0,0,0,0
9,0.6650000000000001,0.5,100000,100000,100000,100000,100000,100000,99998,100000,100000,100000,99999,100000,100000,100000,426097,392698,414891,437221,509752,617425,654243,426097,392698,414891,436221,509752,617425,652248,0,0,0,1000,0,0,1995
9,0.6700000000000002,0.5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,99999,100000,393714,371492,389098,412884,479663,564349,574539,393714,371492,389098,412884,479663,563349,574539,0,0,0,0,0,1000,0
9,0.6800000000000002,0.5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,323218,296696,296521,312092,334683,388493,384274,323218,296696,296521,312092,334683,388493,384274,0,0,0,0,0,0,0
9,0.6750000000000002,0.5,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,364260,319207,335640,353177,418935,478092,474985,364260,319207,335640,353177,418935,478092,474985,0,0,0,0,0,0,0
