# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
# Number of agents who are limited to just one arm: 1
num_agents,p0,p1,success
3,0.5,0.6,74964
4,0.5,0.6,79998
5,0.5,0.6,81741
6,0.5,0.6,83532
7,0.5,0.6,84568
8,0.5,0.6,85527
9,0.5,0.6,86339
10,0.5,0.6,87360
11,0.5,0.6,87591
12,0.5,0.6,88383
13,0.5,0.6,88915
14,0.5,0.6,89265
15,0.5,0.6,89683
16,0.5,0.6,90211
17,0.5,0.6,90217
18,0.5,0.6,90681
19,0.5,0.6,91043
20,0.5,0.6,91282
21,0.5,0.6,91452
22,0.5,0.6,92017
24,0.5,0.6,92281
23,0.5,0.6,91871
25,0.5,0.6,92374
26,0.5,0.6,92663
27,0.5,0.6,92704
28,0.5,0.6,93080
29,0.5,0.6,93206
30,0.5,0.6,93341
31,0.5,0.6,93555
32,0.5,0.6,93821
33,0.5,0.6,93904
34,0.5,0.6,94081
35,0.5,0.6,94112
36,0.5,0.6,94264
37,0.5,0.6,94258
38,0.5,0.6,94638
39,0.5,0.6,94611
40,0.5,0.6,94694
# 230.38526666666667 minutes elapsed
