# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.6
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
172,1,1,1,1,1,1,1,1
173,6,5,10,20,1,1,1,1
174,1,1,10,1,5,1,1,1
175,1,1,1,27,1,1,42,29
176,1,1,10,22,4,4,35,1
177,1,1,4,1,4,1,3,9
178,1,3,8,1,5,1,28,4
179,1,1,25,1,4,1,14,1
180,3,1,8,5,1,1,1,151
181,16,4,33,1,16,1,45,13
182,1,1,1,3,5,1,1,27
183,1,1,14,1,1,4,33,6
184,6,1,1,1,4,1,15,14
185,1,30,18,1,3,1,3,1
186,1,1,30,16,1,1,1,33
187,3,1,1,1,8,10,7,10
188,1,1,1,20,6,1,1,1
189,1,1,14,3,4,1,1,4
190,4,1,30,1,1,3,6,1
191,1,1,64,88,8,1,1,1
192,1,1,1,5,26,1,1,29
193,15,1,1,3,3,1,7,4
194,4,4,1,1,65,1,11,1
195,35,1,3,3,1,4,1,1
196,1,1,1,36,72,1,6,54
197,1,3,7,1,1,3,1,1
198,3,1,17,4,37,1,1,9
199,11,10,1,1,20,1,5,8
200,1,11,3,1,1,1,62,1
201,3,88,13,1,1,1,38,1
202,1,1,38,12,15,1,14,40
203,4,1,17,1,1,4,20,7
204,1,3,1,1,1,1,32,1
205,4,1,3,3,1,1,3,1
206,5,1,1,1,4,1,1,144
207,1,1,1,1,3,5,1,154
208,1,3,1,1,21,4,1,7
209,3,1,1,3,4,1,1,1
210,3,1,1,1,1,41,62,54
211,3,1,12,1,8,3,11,16
212,1,35,28,1,41,4,1,6
213,1,1,30,1,1,1,1,1
214,1,1,1,1,1,1,5,1
215,572,1,25,1,18,1,932,1
216,3,3,10,1,4,1,4,1
217,1,1,6,1,1,8,4,598
218,1,1,1,1,3,3,39,554
219,1,1,23,3,4,1,1,3
220,134,1,5,8,18,1,6,1
221,1,1,1,1,1,1,45,1
222,31,1,3,187,1,1,106,15
223,27,7,23,1,1,1,1,1
224,1,1,22,1,73,4,13,1
225,1,1,1,1,7,3,198,3
226,25,1,9,1,1,1,15,3
227,1,1,10,6,1,3,1,1
228,1,1,3,4,45,1,1,1
229,3,1,1,1,1,1,17,4
230,3,1,1,1,24,13,25,1
231,7,1,1,1,1,14,51,1
232,1,3,60,1,1,1,1,1
233,9,1,1,1,1,1,1,1
234,19,1,1,1,1,1,115,19
235,1,1,1,5,12,1,1,5
236,16,20,23,4,8,1,16,1
237,1,1,4,1,1,3,1,196
238,1,1,6,1,33,1,35,1
239,3,14,1,1,4,4,8,1
240,1,1,1,1,1,6,29,35
241,1,7,15,1,1,1,13,4
242,1,1,1,1,66,3,26,3
243,1,1,156,346,33,1,13,1
244,1,1,29,3,8,5,3,4
245,1,7,1,1,1,3,32,12
246,7,1,4,3,4,1,1,11
247,6,14,22,1,1,3,1,13
248,1,15,11,1,65,1,56,1
249,1,1,4,1,3,1,35,1
250,6,1,3,1,14,1,51,3
251,1,6,3,3,1,4,1,1
252,3,1,4,7,7,1,11,72
253,3,1,94,1,4,1,1,25
254,1,3,1,282,1,1,4,171
255,1,1,3,5,3,1,5,42
256,1,1,1,1,1,1,4,1
257,6,1,59,1,5,1,1,1
258,47,3,1,1,1,1,6,4
259,1,1,22,1,9,12,21,14
260,4,1,1,1,62,8,1,1
261,11,1,5,18,3,1,1,21
262,1,1,5,1,3,1,1,5
263,1,3,7,1,1,1,344,3
264,31,1,194,1,3,17,1,6
265,1,1,7,1,8,1,24,10
266,1,4,4,1,7,1,1,48
267,3,4,3,1,1,4,516,1
268,1,13,1,1,3,1,6,4
269,4,1,56,1,1,1,23,8
270,1,4,1,1,5,1,4,1
271,1,1,8,5,1,1,92,1
272,1,1,7,5,1,3,7,3
273,14,1,51,1,56,6,55,1
274,3,1,1,1,5,1,1,58
275,1,1,5,1,1,1,1,4
276,4,1,7,1,1,1,12,16
277,8,1,1,1,1,1,25,1
278,3,5,1,1,16,8,5,14
279,1,1,1,3,1,1,3,8
280,1,4,1,1,1,1,3,8
281,939,1,1,1,1,1,1,10
282,1,3,1,173,19,1,52,1
283,1,4,1,1,15,1,1,1
284,1,1,1,1,20,1,5,1
285,17,1,15,1,1,1,1,3
286,1,1,1,1,4,1,37,15
287,1,4,40,1,15,161,33,9
288,1,1,14,1,1,1,1,1
289,1,1,42,1,1,1,8,1
290,1,1,1,1,1,1,26,6
291,74,30,100,1,11,1,22,1
