# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.6100000000000001,96793,94912,91848,86786,78575,64703,40891,5348,5249,7013,10463,16630,28251,51411,1707862,1912687,2041979,2222558,2335255,2466802,2322540,1653681,1825752,1899949,1961468,1877257,1595080,940377,54181,86935,142030,261090,457998,871722,1382163
9,0.5,0.6150000000000001,97065,95447,92619,87725,79628,66293,42120,5306,5119,6832,10210,16359,27970,51654,1595567,1766299,1941296,2087361,2192787,2285591,2296459,1556884,1700546,1806379,1855047,1801843,1522785,968550,38683,65753,134917,232314,390944,762806,1327909
9,0.5,0.6200000000000001,97416,95914,93310,88751,80932,67331,43469,5404,5100,6520,9963,16278,27754,51588,1471643,1610082,1814914,2003315,2047409,2265249,2215286,1434305,1549614,1703690,1785076,1679875,1538844,949154,37338,60468,111224,218239,367534,726405,1266132
9,0.5,0.6250000000000001,97716,96386,93822,89586,81871,68678,44843,5278,5194,6573,9818,16178,27805,51304,1356318,1535310,1663052,1820492,2026023,2165078,2168442,1327918,1488962,1560453,1644940,1661746,1495694,967530,28400,46348,102599,175552,364277,669384,1200912
9,0.5,0.6300000000000001,98001,96610,94470,90375,83250,69990,46038,5308,5233,6524,9704,15703,27585,51448,1263915,1415008,1617735,1806939,1987087,2061642,2125192,1248109,1375110,1543084,1641157,1687055,1420606,983802,15806,39898,74651,165782,300032,641036,1141390
9,0.5,0.6350000000000001,98249,97061,94840,91260,84326,71142,47104,5381,5261,6519,9527,15496,27422,51449,1209005,1397424,1543577,1690476,1847182,2034074,2103591,1192611,1360290,1474394,1558938,1575934,1431746,963934,16394,37134,69183,131538,271248,602328,1139657
9,0.5,0.6400000000000001,98423,97364,95525,91863,85116,72527,48219,5652,5230,6352,9539,15709,27400,51420,1083165,1268819,1445126,1591360,1757762,1968405,2026293,1065531,1236207,1395303,1472725,1522218,1412554,963455,17634,32612,49823,118635,235544,555851,1062838
9,0.5,0.6450000000000001,98605,97583,95788,92413,86054,73579,49146,5783,5392,6528,9532,15742,27568,50993,1069344,1178216,1363752,1538632,1726495,1905148,1996547,1056967,1155437,1314119,1438804,1501494,1388871,945085,12377,22779,49633,99828,225001,516277,1051462
9,0.5,0.6500000000000001,98740,97866,96202,93000,86941,74806,50787,6155,5542,6608,9579,15551,27592,51422,985374,1143389,1298830,1485765,1679120,1858464,1933933,974084,1118817,1256737,1380930,1491785,1377630,961510,11290,24572,42093,104835,187335,480834,972423
9,0.5,0.6550000000000001,98868,98023,96544,93505,87689,76073,51567,6218,5620,6884,9623,15586,27424,51347,917975,1080372,1237175,1405178,1571275,1790494,1941952,910002,1056532,1201744,1317305,1392546,1355412,981363,7973,23840,35431,87873,178729,435082,960589
