# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.6150000000000001,75970,72424,68881,64752,59816,53054,42107,100000,100000,100000,100000,99999,100000,100000,917786,837723,917103,920370,1186550,1346888,2269783,774196,670570,685438,652586,720757,775671,955050,143590,167153,231665,267784,465793,571217,1314733
9,0.5,0.6100000000000001,74886,71508,68048,63332,58527,51800,40736,100000,100000,100000,99999,99999,100000,100000,994431,864109,971673,1009698,1224604,1374033,2323807,831335,681866,706758,695082,746184,772628,945339,163096,182243,264915,314616,478420,601405,1378468
9,0.5,0.6200000000000001,76872,73743,70058,66009,60830,54367,43255,100000,100000,99999,100000,100000,100000,99998,844219,777324,844037,895656,1160349,1297348,2236702,714628,623883,627473,650592,724009,751473,945802,129591,153441,216564,245064,436340,545875,1290900
9,0.5,0.6250000000000001,77549,75031,71186,67085,62143,55976,44680,99999,100000,100000,100000,100000,100000,99997,800178,749748,824992,846634,1109099,1254644,2168758,680665,613006,618391,606289,706856,757365,966858,119513,136742,206601,240345,402243,497279,1201900
9,0.5,0.6350000000000001,79353,76344,73071,69161,64403,58166,46899,100000,100000,100000,100000,100000,100000,99999,721135,651961,728262,781142,1025274,1173134,2098583,618559,539263,550128,569793,653768,731010,942138,102576,112698,178134,211349,371506,442124,1156445
9,0.5,0.6300000000000001,78549,75465,72185,68093,63223,57152,45770,100000,100000,99999,100000,99999,99999,100000,752940,685108,792345,802580,1078703,1220987,2101579,650722,564819,598047,586053,676371,732604,951314,102218,120289,194298,216527,402332,488383,1150265
9,0.5,0.6400000000000001,80261,77543,74191,69996,65162,59512,48127,100000,100000,100000,99999,100000,100000,99998,693383,625191,712946,760363,995589,1132095,2019238,597948,519865,550455,571300,659331,704806,941388,95435,105326,162491,189063,336258,427289,1077850
9,0.5,0.6450000000000001,81053,78180,75058,71175,66613,60749,49214,100000,99998,100000,100000,100000,100000,99999,651256,579148,675225,723525,957176,1100361,1959899,564951,487942,529952,533085,647775,695412,938858,86305,91206,145273,190440,309401,404949,1021041
9,0.5,0.6500000000000001,81603,79051,76148,72301,67333,61619,50264,100000,99999,100000,100000,100000,100000,100000,605736,578366,674395,671813,903316,1066799,1942786,539388,493254,527080,513616,601895,683491,952506,66348,85112,147315,158197,301421,383308,990280
9,0.5,0.6550000000000001,82660,79939,76854,73205,68991,62743,51526,100000,100000,100000,100000,100000,100000,99999,573672,546298,648679,686547,892080,1045942,1913433,507516,469164,511391,527263,610713,681234,969091,66156,77134,137288,159284,281367,364708,944342
9,0.5,0.6600000000000001,83127,80748,77616,73979,69335,63622,52807,100000,100000,100000,100000,100000,99999,99999,550284,522587,631779,644656,884774,990637,1865650,487516,445627,506369,508419,603185,655539,960572,62768,76960,125410,136237,281589,335098,905078
9,0.5,0.6700000000000002,84522,82255,79284,75738,71421,65626,54432,100000,100000,100000,99999,100000,100000,100000,501407,485986,586801,585738,803599,976019,1789867,446771,418407,475486,471562,571238,677155,956280,54636,67579,111315,114176,232361,298864,833587
9,0.5,0.6650000000000001,83758,81314,78380,74888,70232,64615,53671,100000,99999,100000,100000,100000,99999,100000,534304,530375,583235,598481,825342,985615,1821746,464728,459376,468241,464997,580405,671165,961714,69576,70999,114994,133484,244937,314450,860032
9,0.5,0.6750000000000002,85019,82772,79899,76280,72677,66789,55747,100000,100000,100000,100000,100000,100000,100000,464354,461152,554967,562477,799861,959586,1762755,421276,400291,451240,440457,586137,670797,956435,43078,60861,103727,122020,213724,288789,806320
9,0.5,0.6800000000000002,85917,83438,80679,77294,73251,67576,56953,100000,100000,100000,100000,99999,100000,100000,454286,431147,535928,580313,771884,878543,1714602,404687,382712,442901,467027,579017,616592,970089,49599,48435,93027,113286,192867,261951,744513
9,0.5,0.6850000000000002,86339,84205,81534,78082,74273,68522,57714,100000,100000,100000,100000,99999,100000,100000,443226,436756,529982,536543,771182,899379,1707500,398864,387705,444648,439350,584035,649754,950705,44362,49051,85334,97193,187147,249625,756795
9,0.5,0.6950000000000002,87539,85244,82801,79469,75789,70242,59578,100000,100000,100000,100000,99999,99999,99998,388031,409413,478347,537258,742539,874307,1605879,350696,368543,406523,443256,564126,631039,928440,37335,40870,71824,94002,178413,243268,677439
9,0.5,0.6900000000000002,86792,85029,82158,78785,74984,69342,58735,100000,100000,100000,100000,100000,100000,100000,419500,397026,493492,524791,736695,888235,1650020,383979,353385,418823,428091,546514,642604,948060,35521,43641,74669,96700,190181,245631,701960
9,0.5,0.7000000000000002,88060,85969,83770,80241,76605,71376,60487,100000,100000,100000,100000,99999,100000,99998,397354,406782,468603,523227,699923,877173,1598193,369468,366257,401938,441103,532427,645631,940576,27886,40525,66665,82124,167496,231542,657617
9,0.5,0.7050000000000002,88495,86406,84179,81193,77496,71855,61574,100000,100000,100000,100000,99999,100000,99999,379129,379080,440064,505052,675578,838192,1581603,347893,346562,380052,431871,531035,631392,945266,31236,32518,60012,73181,144543,206800,636337
9,0.5,0.7200000000000002,89817,87971,85906,83045,79492,74461,64314,100000,100000,100000,100000,100000,100000,99998,343664,340470,424125,467412,626172,794724,1548952,314686,306937,371247,400940,497086,608386,985689,28978,33533,52878,66472,129086,186338,563263
9,0.5,0.7150000000000002,89577,87438,85212,82165,78962,73556,63595,100000,100000,100000,100000,100000,100000,100000,337452,360045,416527,465594,642788,799318,1556307,314464,329020,362349,389983,508981,602314,956624,22988,31025,54178,75611,133807,197004,599683
9,0.5,0.7100000000000002,88962,86918,84553,81555,77661,73034,62509,100000,99999,99999,100000,99999,99999,99999,352836,368000,427748,484631,678188,813055,1569259,317697,330573,369821,415277,528314,622457,960831,35139,37427,57927,69354,149874,190598,608428
9,0.5,0.7250000000000002,90367,88508,86290,83463,79844,75156,65152,100000,100000,100000,99999,100000,99998,100000,315048,338715,399451,452991,616649,792527,1489945,296813,313882,352490,391556,481448,620461,973022,18235,24833,46961,61435,135201,172066,516923
9,0.5,0.7300000000000002,90772,88960,87035,84148,80882,76128,66419,100000,100000,100000,99999,99999,100000,99998,300689,311314,379711,440304,608711,782158,1494944,283964,286126,339429,390780,489463,615370,974060,16725,25188,40282,49524,119248,166788,520884
9,0.5,0.7350000000000002,91132,89481,87355,84615,81296,76696,66988,100000,100000,99999,100000,100000,100000,99998,304295,334620,381726,431417,621605,775752,1499288,288678,308419,341156,375650,515025,622275,975330,15617,26201,40570,55767,106580,153477,523958
9,0.5,0.7400000000000002,91584,89977,87828,85179,81942,77293,67513,100000,99998,100000,100000,99999,100000,99999,278710,302220,361019,416115,592360,733777,1408958,263065,280086,323905,364635,485153,593346,932627,15645,22134,37114,51480,107207,140431,476331
9,0.5,0.7500000000000002,92155,90794,88805,86405,83069,78716,69339,100000,100000,100000,100000,100000,100000,100000,263407,284443,349949,394997,581545,692338,1386007,251602,269606,319111,349489,493259,567960,943475,11805,14837,30838,45508,88286,124378,442532
9,0.5,0.7450000000000002,91975,90448,88485,85981,82711,78289,68443,100000,100000,100000,100000,100000,100000,100000,265921,302642,359397,414917,560986,729872,1418755,251266,283346,325363,371567,470609,595106,961978,14655,19296,34034,43350,90377,134766,456777
9,0.5,0.7550000000000002,92620,91323,89348,86743,83677,79553,70106,100000,100000,100000,100000,100000,100000,99999,258325,267119,346751,375637,549972,715307,1383580,244566,253730,309837,334858,468109,592899,947840,13759,13389,36914,40779,81863,122408,435740
9,0.5,0.7600000000000002,92979,91496,89880,87418,84502,80190,70966,100000,100000,100000,100000,100000,99999,100000,239310,273063,326380,383418,549479,697812,1375274,228650,258081,303163,345806,466583,578955,969190,10660,14982,23217,37612,82896,118857,406084
9,0.5,0.7650000000000002,93363,91901,90233,87679,84813,80797,71780,100000,100000,100000,100000,100000,100000,100000,227252,256567,323602,373061,546677,690491,1347438,219112,243358,296334,335045,466686,575702,951054,8140,13209,27268,38016,79991,114789,396384
9,0.5,0.7700000000000002,93538,92284,90785,88107,85199,81412,72593,100000,100000,100000,100000,100000,100000,99999,234133,252498,325928,355011,522019,676006,1352194,224430,238890,301930,328798,446747,569596,956706,9703,13608,23998,26213,75272,106410,395488
9,0.5,0.7750000000000002,93884,92653,91163,88725,86003,82009,73259,100000,100000,99999,100000,100000,99999,100000,217012,254050,303876,352005,520613,653266,1342529,207295,244017,282762,320800,453423,553533,967482,9717,10033,21114,31205,67190,99733,375047
9,0.5,0.7800000000000002,94263,93109,91355,89293,86303,82625,74211,100000,100000,100000,100000,100000,100000,99998,221328,245335,303773,358509,518246,673845,1322059,214952,233960,285617,332601,446584,585229,977985,6376,11375,18156,25908,71662,88616,344074
9,0.5,0.7850000000000003,94556,93328,91850,89553,86890,83364,74690,100000,100000,100000,100000,100000,100000,99998,214095,231768,296646,331631,491679,652669,1298475,205838,225011,282540,303235,436498,565073,983336,8257,6757,14106,28396,55181,87596,315139
9,0.5,0.7900000000000003,94636,93687,91970,90105,87635,83688,75689,100000,100000,100000,100000,100000,100000,99999,198222,233475,268682,336673,458200,638851,1278812,187712,223415,252844,312700,409722,555372,978271,10510,10060,15838,23973,48478,83479,300541
9,0.5,0.7950000000000003,95071,93936,92427,90546,87930,84106,76248,100000,100000,100000,100000,100000,99999,100000,196877,224387,270744,324038,451302,633243,1272843,192200,217287,255932,305115,408196,551804,968099,4677,7100,14812,18923,43106,81439,304744
9,0.5,0.8000000000000003,95221,94170,92859,90997,88518,85026,77054,100000,100000,100000,100000,99999,100000,100000,190714,223546,271645,325460,443262,643286,1229229,185526,215800,260150,304758,400274,570986,941800,5188,7746,11495,20702,42988,72300,287429
# 836.9766 minutes elapsed
