# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.6100000000000001,0.5,99944,99920,99911,99920,99909,99933,99999,99942,99915,99910,99917,99906,99932,99999,1351979,1375718,1370830,1340459,1302790,1112381,816162,1323071,1344830,1340551,1305932,1263055,1086395,815162,28908,30888,30279,34527,39735,25986,1000
9,0.6150000000000001,0.5,99954,99937,99915,99900,99891,99927,100000,99945,99934,99914,99899,99889,99926,100000,1241623,1258548,1255050,1245676,1180990,1005871,750930,1221186,1226630,1223455,1204520,1131645,978883,750930,20437,31918,31595,41156,49345,26988,0
9,0.6200000000000001,0.5,99946,99923,99887,99893,99900,99909,99999,99939,99922,99884,99893,99900,99909,99999,1163068,1184494,1182560,1188915,1150941,988749,681095,1136207,1146230,1130385,1130596,1103413,942867,680095,26861,38264,52175,58319,47528,45882,1000
9,0.6250000000000001,0.5,99953,99928,99931,99914,99922,99943,99999,99951,99927,99928,99913,99922,99943,99999,1077694,1127509,1122516,1099825,1053684,922956,648229,1051724,1088228,1083299,1056857,1012967,892118,647229,25970,39281,39217,42968,40717,30838,1000
9,0.6300000000000001,0.5,99960,99959,99940,99949,99947,99961,99999,99957,99958,99938,99949,99946,99961,99999,1002977,1026072,1056091,1024863,982958,869481,590937,980906,1002920,1021721,995925,953231,846920,589989,22071,23152,34370,28938,29727,22561,948
9,0.6400000000000001,0.5,99979,99965,99972,99968,99974,99979,100000,99975,99965,99972,99967,99973,99979,100000,865536,901628,915280,887765,856325,767434,517748,852266,876556,897918,869085,839315,752257,517748,13270,25072,17362,18680,17010,15177,0
9,0.6350000000000001,0.5,99959,99958,99953,99948,99954,99962,100000,99956,99957,99953,99945,99953,99962,100000,942209,958944,1005753,972272,930100,822250,552143,916550,932379,976098,934944,896914,795711,552143,25659,26565,29655,37328,33186,26539,0
9,0.6450000000000001,0.5,99984,99983,99973,99973,99981,99985,99999,99983,99983,99973,99973,99981,99985,99999,831815,826884,842727,868010,808102,726217,503615,819178,817209,824691,847692,794501,715077,502615,12637,9675,18036,20318,13601,11140,1000
9,0.6500000000000001,0.5,99990,99988,99992,99989,99989,99991,100000,99989,99988,99990,99988,99989,99991,100000,793993,807487,814815,819243,798605,697869,483196,787088,800302,810006,810158,789469,690342,483196,6905,7185,4809,9085,9136,7527,0
9,0.6550000000000001,0.5,99992,99995,99992,99994,99991,99996,100000,99992,99995,99990,99993,99990,99996,100000,804187,821678,835112,837050,823148,738446,532824,800211,818301,830524,834726,818042,736153,532824,3976,3377,4588,2324,5106,2293,0
