# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
# Number of agents who are limited to just one arm: 4
num_agents,p0,p1,success
5,0.5,0.6,75259
6,0.5,0.6,70316
7,0.5,0.6,75688
8,0.5,0.6,78336
9,0.5,0.6,80361
10,0.5,0.6,82154
11,0.5,0.6,83320
12,0.5,0.6,84924
13,0.5,0.6,85372
14,0.5,0.6,86159
15,0.5,0.6,86900
16,0.5,0.6,87905
17,0.5,0.6,88049
18,0.5,0.6,88883
19,0.5,0.6,89006
20,0.5,0.6,89585
21,0.5,0.6,89896
22,0.5,0.6,90394
23,0.5,0.6,90430
24,0.5,0.6,90896
25,0.5,0.6,91218
26,0.5,0.6,91535
27,0.5,0.6,91722
28,0.5,0.6,92060
29,0.5,0.6,92062
30,0.5,0.6,92617
31,0.5,0.6,92581
32,0.5,0.6,93070
33,0.5,0.6,92999
34,0.5,0.6,93205
35,0.5,0.6,93268
36,0.5,0.6,93567
37,0.5,0.6,93810
38,0.5,0.6,93924
39,0.5,0.6,93919
40,0.5,0.6,94153
