# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
# Number of agents who are limited to just one arm: 2
num_agents,p0,p1,success
4,0.5,0.6,72984
5,0.5,0.6,77174
6,0.5,0.6,80181
7,0.5,0.6,82069
8,0.5,0.6,83691
9,0.5,0.6,84577
10,0.5,0.6,85538
11,0.5,0.6,86340
12,0.5,0.6,87385
13,0.5,0.6,87716
14,0.5,0.6,88267
15,0.5,0.6,88665
16,0.5,0.6,89394
17,0.5,0.6,89586
18,0.5,0.6,90201
19,0.5,0.6,90203
20,0.5,0.6,90804
21,0.5,0.6,91157
22,0.5,0.6,91395
23,0.5,0.6,91547
24,0.5,0.6,92000
25,0.5,0.6,91914
26,0.5,0.6,92246
27,0.5,0.6,92546
28,0.5,0.6,92730
29,0.5,0.6,92875
30,0.5,0.6,93133
31,0.5,0.6,93250
32,0.5,0.6,93409
33,0.5,0.6,93544
34,0.5,0.6,93743
35,0.5,0.6,93748
36,0.5,0.6,93866
37,0.5,0.6,94102
38,0.5,0.6,94407
39,0.5,0.6,94416
40,0.5,0.6,94578
# 222.95126666666664 minutes elapsed
