# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.6100000000000001,87420,85833,83864,81548,79266,75759,70576,100000,99999,100000,100000,100000,100000,100000,962683,808504,872258,843640,987282,1134941,1562953,889320,728359,730825,685100,749280,825015,860815,73363,80145,141433,158540,238002,309926,702138
9,0.5,0.6150000000000001,88102,86310,84193,82172,79890,76758,71139,100000,100000,100000,100000,100000,100000,100000,863856,771720,788884,799230,927865,1030474,1513094,797047,674872,664977,660840,695387,754397,846525,66809,96848,123907,138390,232478,276077,666569
9,0.5,0.6200000000000001,88418,86999,85062,82995,80299,77403,71927,100000,100000,100000,100000,100000,100000,100000,806350,699890,756594,767189,893042,1040918,1428029,745661,629974,648881,626077,669263,756417,805557,60689,69916,107713,141112,223779,284501,622472
9,0.5,0.6250000000000001,88778,87386,85359,83480,81012,77939,72564,100000,100000,100000,100000,100000,100000,99999,772347,648588,698810,714321,838129,949888,1404567,701726,577700,595342,591584,626646,700645,809984,70621,70888,103468,122737,211483,249243,594583
9,0.5,0.6300000000000001,89306,87849,86046,84035,81566,78460,73046,100000,100000,100000,100000,100000,100000,100000,697933,622833,666733,693775,806449,922760,1325206,645914,562790,563417,581635,604180,684169,754853,52019,60043,103316,112140,202269,238591,570353
9,0.5,0.6350000000000001,89656,88364,86638,84554,82151,78991,73686,100000,100000,100000,100000,99998,99999,100000,659877,580004,627944,646677,755699,860835,1304654,609838,530664,536225,545243,572593,638422,747046,50039,49340,91719,101434,183106,222413,557608
9,0.5,0.6400000000000001,90059,88734,87088,85066,82799,79767,73956,100000,100000,100000,100000,99999,100000,99999,619628,558149,590231,595021,745734,827545,1298972,570105,504609,512536,503993,575829,623148,729640,49523,53540,77695,91028,169905,204397,569332
9,0.5,0.6500000000000001,91136,89466,87900,86039,83790,80724,75216,100000,100000,100000,100000,100000,99999,100000,548213,479121,531385,560110,674710,794258,1227649,510088,439768,466329,475340,528122,595797,723946,38125,39353,65056,84770,146588,198461,503703
9,0.5,0.6450000000000001,90367,88863,87481,85430,83320,80252,74665,99999,100000,100000,100000,100000,100000,99999,582656,533359,557166,585524,672309,814857,1258074,541031,486061,480609,492385,530069,624805,739992,41625,47298,76557,93139,142240,190052,518082
9,0.5,0.6600000000000001,91657,90263,88831,86859,84624,81785,76151,100000,100000,100000,100000,100000,100000,100000,491868,456811,498574,534895,676680,782989,1258098,455370,418461,437536,458884,547670,614559,799255,36498,38350,61038,76011,129010,168430,458843
